Project Path,Existing Packages,Generated Packages,Unique to Existing Packages,Unique to Generated Packages,Common packages
G:/ReqProject/gitprojects/project\703,1,1,1,1,0
G:/ReqProject/gitprojects/project\705,4,2,3,1,1
G:/ReqProject/gitprojects/project\706,133,4,131,2,2
G:/ReqProject/gitprojects/project\709,5,4,3,2,2
G:/ReqProject/gitprojects/project\711,9,8,6,5,3
G:/ReqProject/gitprojects/project\714,4,4,2,2,2
G:/ReqProject/gitprojects/project\715,1,2,0,1,1
G:/ReqProject/gitprojects/project\716,3,3,2,2,1
G:/ReqProject/gitprojects/project\721,2,2,1,1,1
G:/ReqProject/gitprojects/project\724,1,1,1,1,0
G:/ReqProject/gitprojects/project\725,14,2,12,0,2
G:/ReqProject/gitprojects/project\727,8,3,7,2,1
G:/ReqProject/gitprojects/project\728,4,3,4,3,0
G:/ReqProject/gitprojects/project\729,17,13,14,10,3
G:/ReqProject/gitprojects/project\730,16,29,2,15,14
G:/ReqProject/gitprojects/project\731,1,1,0,0,1
G:/ReqProject/gitprojects/project\732,11,11,4,4,7
G:/ReqProject/gitprojects/project\733,10,10,8,8,2
G:/ReqProject/gitprojects/project\734,6,3,3,0,3
G:/ReqProject/gitprojects/project\735,5,1,5,1,0
G:/ReqProject/gitprojects/project\736,0,1,0,1,0
G:/ReqProject/gitprojects/project\737,2,1,1,0,1
G:/ReqProject/gitprojects/project\740,7,2,5,0,2
G:/ReqProject/gitprojects/project\741,2,1,2,1,0
G:/ReqProject/gitprojects/project\744,15,2,13,0,2
G:/ReqProject/gitprojects/project\745,2,2,0,0,2
G:/ReqProject/gitprojects/project\747,1,4,1,4,0
G:/ReqProject/gitprojects/project\748,8,7,2,1,6
G:/ReqProject/gitprojects/project\751,3,4,0,1,3
G:/ReqProject/gitprojects/project\752,3,6,1,4,2
G:/ReqProject/gitprojects/project\753,6,2,4,0,2
G:/ReqProject/gitprojects/project\755,2,2,0,0,2
G:/ReqProject/gitprojects/project\757,5,7,1,3,4
G:/ReqProject/gitprojects/project\759,4,4,0,0,4
G:/ReqProject/gitprojects/project\760,5,3,2,0,3
G:/ReqProject/gitprojects/project\762,23,8,15,0,8
G:/ReqProject/gitprojects/project\763,1,1,0,0,1
G:/ReqProject/gitprojects/project\764,15,3,12,0,3
G:/ReqProject/gitprojects/project\766,10,3,7,0,3
G:/ReqProject/gitprojects/project\767,3,2,1,0,2
G:/ReqProject/gitprojects/project\768,8,2,7,1,1
G:/ReqProject/gitprojects/project\772,16,5,12,1,4
G:/ReqProject/gitprojects/project\773,8,7,4,3,4
G:/ReqProject/gitprojects/project\774,1,3,0,2,1
G:/ReqProject/gitprojects/project\776,3,7,0,4,3
G:/ReqProject/gitprojects/project\779,5,11,0,6,5
G:/ReqProject/gitprojects/project\780,16,2,14,0,2
G:/ReqProject/gitprojects/project\781,48,19,32,3,16
G:/ReqProject/gitprojects/project\782,17,7,14,4,3
G:/ReqProject/gitprojects/project\784,4,4,0,0,4
G:/ReqProject/gitprojects/project\785,11,1,10,0,1
G:/ReqProject/gitprojects/project\786,3,8,1,6,2
G:/ReqProject/gitprojects/project\788,1,5,1,5,0
G:/ReqProject/gitprojects/project\797,9,3,6,0,3
G:/ReqProject/gitprojects/project\805,2,2,1,1,1
G:/ReqProject/gitprojects/project\807,17,2,15,0,2
G:/ReqProject/gitprojects/project\813,3,8,2,7,1
G:/ReqProject/gitprojects/project\814,1,2,1,2,0
